Supplier_ID,Supplier_risk,Profit_impact,Supplier_willingness,Supplier_quality_capability
A_{01},0.6654874920087638,0.7016129387552592,0.3160028632285611,0.548260200888857
A_{02},0.8244643045738161,0.4876991162687668,0.5777368718034104,0.8012571866110462
A_{03},0.41074601525749493,0.7756164297546412,0.4806583298896411,0.17388580031934495
A_{04},0.39028279157098317,0.493509230796031,0.20516155473791528,0.8457598760593635
A_{05},0.3458461537560937,0.6471175693815256,0.176233952225822,0.8154342799051616
A_{06},0.34950517498481637,0.5221500924232461,0.6066844283067215,0.7925481951720803
A_{07},0.9777531835461607,0.4006662698791538,0.5760529529021817,0.8086109443215009
A_{08},0.6941462636349075,0.8283637087064892,0.7491417965452053,0.7075173845004582
A_{09},0.36250225358685867,0.5208547991783316,0.34570423753468255,0.32377607904436884
A_{10},0.5613076288038976,0.6198101550573127,0.3097236391897125,0.8624724970321931
A_{11},0.2138114201469471,0.8919832493546903,0.2471710200615677,0.67058071132089
A_{12},0.32737608064459434,0.5785753603931091,0.40003558753662105,0.7523655701367811
A_{13},0.807606426785142,0.6482723760780976,0.4379606622507611,0.8245552549525917
A_{14},0.6860493980380764,0.817282249455379,0.4121755461778106,0.8878431057554297
A_{15},0.2816681892113706,0.18013461213326706,0.3968110237358267,0.8262965925555109
A_{16},0.9002961615167004,0.8190097241223113,0.3988822473023148,0.5240631696643615
A_{17},0.5785688271722287,0.5075344246317319,0.5187628094532747,0.8255428599559235
A_{18},0.4107343245025636,0.34478708406594494,0.29307670564915106,0.8496941795226387
A_{19},0.8120980158563533,0.5722145067850378,0.3999686562921064,0.87475837961208
A_{20},0.37177286699133144,0.39440138761046567,0.40171182889648993,0.850907343412758
A_{21},0.15995920869076843,0.4983068433769041,0.39261166837977446,0.7282637458764932
A_{22},0.8597869074504488,0.35335834585592385,0.6933668089958759,0
A_{23},0.4170676039197632,0.522554540343177,0.2497811333032789,0.8871368949329184
A_{24},0.2095179689432385,0.34351791865101927,0.47956228982343707,0.8492498398072216
A_{25},0.5833002946152379,0.3679326341618618,0.4544621456633025,0.8128021840879391
A_{26},0.5331284801907508,0.45046751605518215,0.11461761082076811,0.9061494920730176
A_{27},0.5657655470236883,0.5353643581127349,0.20935627860120018,0.7750690660817748
A_{28},0.5243968299024817,0.6949271728901056,0.3161856090957813,0.8985793345273205
A_{29},0.3810663958296677,0.08881208486825769,0.29204254770613686,0.7233118739895459
A_{30},0.30738434758657557,0.6601912919390636,0.3729708175099504,0.8269314155524061
A_{31},0.6205078946949057,0.538723176099663,0.469383242613084,0.7654728937367039
A_{32},0.37350532264772546,0.5987894576007344,0.4213504636619201,0.9118821763076057
A_{33},0.34959221777899435,0.49576324863105226,0.5234172563924732,0.9364304307542818
A_{34},0.35261619759235213,0.5770174700128116,0.374773800821751,0.9128863543264178
A_{35},0.5629221857724831,0.31255614147602345,0.4311575884358607,0.9235604666298719
A_{36},0.37657037481366923,0.5126494003351242,0.3862371619808522,0.9150818755959313
A_{37},0.3232824261027455,0.7267695622329232,0.11408187740971464,0.7861927407198717
A_{38},0.33407178859524056,0.9345954840429225,0.2298205278532739,0.5915575727700316
A_{39},0.19700171747506662,0.3327209050899085,0.44101018320596985,0.8592858362862187
A_{40},0.37716449589991086,0.4343392443030195,0.2720277337640888,0.9413182509386656
A_{41},0.36920497519781276,0.7351896427043892,0.1517589594274259,0.7473412973904118
A_{42},0.6642992379635696,0.8452626526064497,0.6713216833751147,0.8522448101649843
A_{43},0.26179623082875314,0.5731356967364744,0.24896581958550593,0.8592810941438105
A_{44},0.66951790583271,0.643757707065755,0.4056446394617996,0.9122271485363543
A_{45},0.8120980158564123,0.28781619254346075,0.5981186766774287,0.9276227170247893
A_{46},0.41769337737962275,0.5108181387051643,0.2869766444992197,0.9077343746640745
A_{47},0.36083375839332166,0.48823966306177463,0.48643729736211677,0.4044581101852849
A_{48},0.6304124515843439,0.5385468651852505,0.5702387697484423,0.8483149135140623
A_{49},0.5533232392821391,0.59542408981956,0.5407187232093622,0.919550141208589
A_{50},0.5147406041152495,0.46486076678318655,0.25386118157587073,0.9279352732598577
A_{51},0.2806156259961821,0.553021288865442,0.14635517485538227,0.8797343784583818
A_{52},0.6687441164172148,0.46019868997122737,0.09193566086367669,0.868413317134917
A_{53},0.38260248034391575,0.7202307101014791,0.3503223584116099,0.7549163214328317
A_{54},0.4066299540415353,0.4876119898554502,0.3806209867705029,0.8293714814546874
A_{55},0.7076411671260341,0.7319170027850468,0.18032667839786293,0.8402619256338776
A_{56},0.705412529023651,0.4999565238290198,0.2975721033253269,0.9044851171753792
A_{57},0.10864872946008841,0.5622415954982528,0.4599745384768131,0.9048214771970202
A_{58},0.807606426785155,0.4167492993313136,0.1904402300277959,0.931518373111654
A_{59},0.34173506115161295,0.7953125447395649,0.26325473687241163,0.9501084928188402
A_{60},0.01953270758251485,0.4350952678417488,0.05011792512479493,0.8596091330719939
A_{61},0.5162537133829838,0.42289206032020055,0.5435038567585698,0.9451279015110915
A_{62},0.6653705713426221,0.42149711323538114,0.8145859989510474,0.9804460722970613
A_{63},0.20492254671126936,0.542412107445329,0.3274846749284596,0.9553837929306178
A_{64},0.7479148631186311,0.5268239759603089,0.6759569362194809,0.964807776502098
A_{65},0.4844601219779521,0.2733862866410536,0.6404641847403431,0.9331315265541295
A_{66},0.229858303641389,0.44354758843302466,0.23838444851339052,0.9523891478230996
A_{67},0.1518239204708657,0.5991491796747782,0.18649496445235075,0.9411323868823841
A_{68},0.4964684031952773,0.6741356752629033,0.29549272189513537,0.948049648949325
A_{69},0.9266862808359733,0.6106508282648373,0.32286526885451944,0.9627266633284173
A_{70},0.3690734717853111,0.5664610373568352,0.4766267821993122,0.9352391247442862
A_{71},0.06287890069107814,0.4073284905201793,0.5323160738266355,0.873137090129751
A_{72},0.2521543842342901,0.4959828590824583,0.30930818362540524,0.9646319878079286
A_{73},0.4632032716309052,0.4062577761475356,0.2887472855655987,0.9892941150925931
A_{74},0.7186566606625332,0.43340060218625404,0.4505438987212451,0.9908156299209367
A_{75},0.5119333453359701,0.4375615308183981,0.37423706879652485,0.921562628886614
A_{76},0.8234265429580602,0.48968874050391265,0,0.9165734487573723
A_{77},0.7025100699513935,0.7255119097869509,0.6987016264378366,0.9686580553673486
A_{78},0.43255095083617234,0.7640507648829424,0.1794754085485395,0.8486045888101401
A_{79},0.43183805244769047,0.15170345876726601,0.22431035190760998,0.9225505873419196
A_{80},0.2524129023283549,0.6324083776910926,0.2854516389281072,0.9489531909974397
A_{81},0.8337172657586808,0.2327864451789325,0.4175433248736426,0.9827892341919433
A_{82},0.23383948292945972,0.6540847443145393,0.9999998006664483,0.9761801736713906
A_{83},0.23459411982604658,0.5992553950966013,0.5084061534030577,0.978069973272993
A_{84},0.019532707582562377,0.5335504097018613,0.3345887406878303,0.897509560430864
A_{85},0.23535599777416424,0.6158651445046444,0.6412594401041627,0.7878838954091214
A_{86},0.616251431012499,0.7103934504859064,0.6306966898424267,0.9860893338250333
A_{87},0.4148235247829734,0.6588195372204977,0.4383213286059857,0.549807656314326
A_{88},0.3198358183969974,0.2272764054843742,0.44062663153015597,0.9887387974997072
A_{89},0.484700396680802,0.7178379703480635,0.5220162142591047,0.9999999822380695
A_{90},0.87469747215558,0.43805773854164,0.29333582372341854,0.923948505565952
A_{91},0.9277549313437456,0.3155546824414117,0.44133135082568076,0.9412845026972507
A_{92},0.16251540075128273,0.4612046114605177,0.21525254590928736,0.95714649365218
A_{93},0.29002922462812397,0.5750516023068104,0.40361409887848176,0.9651602109864591
A_{94},0.8393129851640412,0.4891239178435586,0.3626495137072473,0.9833234317599198
A_{95},0.2533020812483177,0.32764552790367213,0.22579628729521792,0.9641458031690857
A_{96},0.4487129801753862,0.666168556174919,0.33834891770579933,0.98788989399058
A_{97},0.03066241811636496,0.6138506227779807,0.48004213350926467,0.9712123647578461
A_{98},0.4458435141265496,0.5545331854216563,0.5081316196088196,0.9838144608012603
A_{99},0.8131069014019416,0.6685176695667431,0.3923603684093864,0.5294080089721039
A_{100},0.9397294704678425,0.2792162199443973,0.5422481247732626,0.962922384972718
